тэрмін на мове арыгінала (eng.),пераклад тэрміна на беларускую мову,як не перакладаць,заўвагі
NFC tag,цэтлік NFC,,"Google (A small chip for storing data, similar an to an RFID tag. Android devices can be used to scan these tags. Also, a device can act as a tag itself. If another device is placed next to it, the other device can scan information from the device that acts as a tag.)"
Niamey,Ніямей,,Samsung
nib,вастрыё,,Samsung
Nicaragua,Нікарагуа,,CLDR
nickname,псеўданім,,Samsung
Niger,Нігер,,CLDR
Nigeria,Нігерыя,,CLDR
night blue,Сіняя начная (колеравая тэма),,
night mode,начны рэжым,,
Night scenery,Начны краявід,,Samsung
Night Vision,Начное бачанне,,Google (Photo effect that makes your photo photo look like you are viewing it using a night-vision device. This is typically characterized by a green glow. http://en.wikipedia.org/wiki/Night_vision)
nit,ніт,,Google (Unit of measure for the luminance of a screen.)
Niue,Ніуэ,,CLDR
No alerts during game,Без абвестак падчас гульняў,,Samsung
No all-day events,Падзеі не на ўвесь дзень,,Samsung
No further action is needed,Дадатковых дзеянняў не трэба,,Samsung
No further action is required,Дадатковыя дзеянні не патрабуюцца,,Samsung
no interruptions,не адцягваць увагу,,"Google (A UI option within Android Wear. When in this state the device will not vibrate, and it will not illuminate on its own. You can enter into this state by swiping down and pushing the top card off the screen.)"
no interruptions mode,"рэжым ""Не адцягваць увагу""",,"Google (A UI option within Android Wear. When in this state the device will not vibrate, and it will not illuminate on its own. You can enter into this state by swiping down and pushing the top card off the screen.)"
no more than,не больш за,,Samsung
No Repeat,Не паўтараць,,
no results found,нічога не знойдзена,,
No Waiver,Захаванне правоў,,Samsung
no.,! колькасць; нумар,,
noir,нуар,,Google (Modern black-and-white film looks with a realistic grain engine and the all-new “wash” effect. It offers a more dramatic look than regular black-and-white.)
noise,шум,,Samsung
noise cancellation,падаўленне шуму,,Google (A technology that reduces the volume of unwanted ambient sounds by means of active noise control.)
noise reduction,змяншэнне шуму,,Samsung
none,няма; нічога; ніякі,,
noon,поўдзень,,Samsung
Norfolk Island,Востраў Норфалк,,CLDR
normal,звычайны,,Samsung
normal font,звычайны шрыфт,,Samsung
normal quality,звычайная якасць,,Samsung
North Korea,Паўночная Карэя,,CLDR
Northern Mariana Islands,Паўночныя Марыянскія астравы,,CLDR
Norway,Нарвегія,,CLDR
Norwegian,нарвежская,,CLDR
not available,недаступна,,Samsung
not compatible,несумяшчальны,,"MS, Anki"
not enough,недастаткова,,Samsung
not enough storage space,недастаткова прасторы сховішча,,Samsung
not found,не знойдзена,,Samsung
not trusted,ненадзейны,,Samsung
not valid,несапраўдны; няправільны,,Samsung
note,нататка,запіс,"Google, MS, Anki"
Note (Writing),Нататка (пісьмовая),,Samsung
note:,увага:,,Telegram
notepad,нататнік,,Samsung
notes,нататкі,запісы,Anki
notice,папярэджанне,,Samsung
notification,апавяшчэнне,абвестка,"Google, Samsung"
Notification assistant,Памочнік па апавяшчэннях,,Google
notification panel,панэль апавяшчэнняў,,Samsung
notification reminder,напамін пра апавяшчэнне,,Samsung
notification settings,налады апавяшчэнняў,,Google (Notification settings allow a user to control which notifications show up on the lock screen of their device.)
notification shade,шчыток апавяшчэнняў,,"Google (Panel accessible from the top of the screen of an Android device. When users swipe to expand this panel, they can access notifications and settings, such as email or chat messages received and missed calls.)"
Notifications panel,Панэль апавяшчэнняў,,"Google (A panel that displays information, settings, and notifications. Users open this panel by swiping down. Usually called ""notification shade."")"
Nouakchott,Нуакшот,,Samsung
Noumea,Нумеа,,Samsung
Nova Launcher,Nova Launcher,,"Google (Name of an app that is a home screen replacement for Android 4. Features of this app include being able to set your own home screen color themes, scroll effects, widgets in dock and backup/restore.)"
Novokuznetsk,Новакузнецк,,Samsung
Novosibirsk,Новасібірск,,Samsung
Now,Google Now,Асістэнт,"Google (Short form of product name ""Google Now"". Google Now is an assistant that is always working in the background. You don't have to ask for anything: In this mode, the Google app displays information when you're most likely to need it. For example, if you have a calendar entry for a dentist appointment, Now can check traffic and suggest when to leave. It can show you information about train schedules when you are at the train station, as well as weather forecasts, sports results/fixtures, flight schedules, and much more.)"
now,цяпер (бягучы момант); зараз (бліжэйшы мінулы ці будучы час),,"У стайлгайдах буйных перакладчыкаў дапушчальна выкарыстанне слова «зараз» замест «цяпер», але я лічу, што гэта дрэнная тэндэнцыя, не ўласцівая літаратурнай беларускай мове"
Now cards,карткі Google Now,Падказкi,"Google (General name for the set of ""cards"" in the Now service. We have a Traffic card that shows traffic to home, weather card that shows current weather, place card that shows information about nearby places, etc. We are calling all of these ""Now cards"".)"
